track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1979,Pain Of Salvation,spotify:track:6QmiqwMIj15Lsl5C0zCIQ8,0.353,0.399,9,-10.882,0,0.0357,0.56,0.000432,0.0712,0.104,173.354,4
1979 (2),Smashing Pumpkins,spotify:track:4pNbJCLRwOdHFLh5QGDBdY,0.762,0.807,3,-9.404,1,0.0332,0.014,0.506,0.053,0.963,126.883,4
1979 (3),Smashing Pumpkins,spotify:track:5QLHGv0DfpeXLNFo7SFEy1,0.767,0.787,3,-9.897,1,0.0331,0.0163,0.583,0.0513,0.964,126.879,4
1979 (best),Smashing Pumpkins,spotify:track:7xaNNBluyieXGOXms5ThEI,0.768,0.782,3,-10.231,1,0.033,0.021,0.683,0.0802,0.964,127.042,4
1983,Jimi Hendrix,spotify:track:5uDpwSGjljhIgDB1ZYdp9c,0.357,0.682,1,-9.207,1,0.106,0.159,0.00609,0.357,0.229,138.258,4
1984,Van Halen,spotify:track:43nVoP1xPa5fbmAwxeN5fY,0.153,0.201,4,-18.145,1,0.0381,0.418,7.43e-05,0.196,0.0695,71.513,3
1984,Killers,spotify:track:3KIKVvsJHKhmk4gTRjLZ6i,0.427,0.63,7,-5.424,1,0.0415,0.0069,0.0807,0.517,0.111,153.225,4
1985,Bowling For Soup,spotify:track:2ZKypu2f3FZoOv3S3JUi5t,0.606,0.882,1,-4.453,0,0.0618,0.000255,0,0.336,0.889,119.972,4
1996,Marilyn Manson,spotify:track:5zbK7FktiCZIQHQC0VfmTk,0.305,0.979,5,-6.002,1,0.0972,0.00227,0.18,0.139,0.0685,168.035,4
1999,Prince,spotify:track:2H7PHVdQ3mXqEHXcvclTB0,0.866,0.73,5,-8.201,1,0.0767,0.137,0,0.0843,0.625,118.523,4
19th Nervous Breakdown,Rolling Stones,spotify:track:2o9diEapGbeXiiQM8yuksp,0.499,0.8,4,-8.977,1,0.0379,0.04,0.0286,0.224,0.829,96.433,4
2 A.M.,Iron Maiden,spotify:track:6K8ROjiPJqyHDJS0sA0dwH,0.39,0.932,2,-6.558,1,0.0666,0.0986,0.00961,0.322,0.143,112.034,4
2 Become 1,Spice Girls,spotify:track:36AWdhZIGLUTkWpJDhe7va,0.646,0.665,6,-7.878,1,0.0268,0.326,1.97e-05,0.238,0.7,143.966,4
2 Fast 2 Furious,Movie Themes,spotify:track:3JiyUyibMs31de0hmoeSK9,0.576,0.88,8,-2.01,0,0.126,0.0208,8.99e-05,0.334,0.514,87.969,4
2 Hearts,Kylie Minogue,spotify:track:7i3qhnxYFlgddPvGyhN26T,0.667,0.621,7,-5.229,0,0.035,9.31e-05,4.33e-05,0.0572,0.492,111.996,4
2 Minutes To Midnight,Iron Maiden,spotify:track:2SrVGpjv0mqCR6j9EZPSm2,0.446,0.97,9,-5.004,0,0.0508,0.00754,0.000275,0.199,0.595,94.233,4
2 Of Amerikas Most Wanted,2 Pac,spotify:track:6LwrEZNkvFTOypNwSLjuaJ,0.849,0.904,8,-4.78,1,0.138,0.0248,5.11e-05,0.0545,0.854,99.258,4
2 Out Of 3 Ain't Bad,Meat Loaf,spotify:track:2ph0hzV1kCVhR82E2La4q5,0.586,0.48,9,-9.138,1,0.0243,0.385,0,0.0947,0.488,79.873,4
2 x 4,Metallica,spotify:track:0SwHR5lvAfgI8Z2D6YgvMd,0.512,0.907,1,-4.432,0,0.0345,4.57e-06,0.00857,0.549,0.673,115.217,4
2+2=5,Radiohead,spotify:track:4xkcGfpM9RwB4IiQ7yx2dB,0.442,0.717,5,-5.498,0,0.0504,0.178,5.1e-05,0.344,0.386,149.582,4
2-40 Robert,Tv Themes,spotify:track:5pLcLanVJl8XrbBsHQOPa3,0.841,0.761,1,-10.721,1,0.0777,0.000205,0.887,0.0626,0.277,125.031,4
20 Eyes In My Head,Misfits,spotify:track:1ESfjAiwLepldg51wd39yg,0.468,0.963,6,-9.455,0,0.0541,0.0852,0.000229,0.311,0.495,123.354,4
2000 Light Years Away,Green Day,spotify:track:5iVOSacX0ZnNQeoxQ0PldS,0.27,0.977,10,-4.861,1,0.119,0.00235,1.12e-06,0.235,0.644,190.131,4
2000 Man,Kiss,spotify:track:7e6QQnRVq3IpINXYIQIJZ3,0.328,0.849,1,-4.289,1,0.066,0.00132,0.000369,0.128,0.574,130.78,4
2000 Man,Rolling Stones,spotify:track:2iZEOHx7XZGZUglo3gI9a7,0.424,0.555,9,-5.45,1,0.0408,0.00164,0.0243,0.462,0.31,122.232,4
20000,K'S Choice,spotify:track:4KzZ5dq0a1xWwY49Ynal2U,0.402,0.136,4,-17.038,1,0.0357,0.873,0,0.783,0.31,87.052,4
2001 A Space Oddysey,Movie Themes,spotify:track:1EoTeNpr68AL9eHTaQBKcO,0.151,0.265,0,-8.565,1,0.0312,0.566,0.274,0.0955,0.147,169.751,3
2001: The Year We Make Contact,Movie Themes,spotify:track:6DmhJxco82FZTK8YIMooYI,0.589,0.609,1,-11.133,1,0.0477,0.00894,0.0733,0.108,0.195,100.037,4
2004,Master Gold,spotify:track:7bzqkXGN0SMEisPCjYIzTp,0.53,1.0,10,-8.875,0,0.159,0.939,0.846,0.108,0.0289,131.517,5
2010: The Year We Make Contact,Movie Themes,spotify:track:6DmhJxco82FZTK8YIMooYI,0.589,0.609,1,-11.133,1,0.0477,0.00894,0.0733,0.108,0.195,100.037,4
20th Century Fox,Doors,spotify:track:7mc2TP4Vzuyw2vNf1bLW9f,0.583,0.675,9,-7.126,1,0.0318,0.316,0,0.0472,0.693,114.208,4
20th Century Fox Fanfare,Star Wars,spotify:track:2bw4WgXyXP90hIex7ur58y,0.577,0.379,7,-13.82,0,0.0368,0.753,0.955,0.126,0.284,103.112,4
20th Century Fox/20th Century Studios Fanfare,Movie Themes,spotify:track:4e3iBtPF2BWdp055A4aE27,0.734,0.359,10,-7.676,1,0.371,0.616,0.98,0.374,0.794,85.047,3
20th Century Man,Kinks,spotify:track:6Sj6OVj0eXNuqv1n0jzV3f,0.482,0.446,2,-15.325,1,0.0368,0.328,0.0356,0.0989,0.689,141.787,4
21 Days,Blink 182,spotify:track:4l3yTCsHCPoP4PiROH2GdG,0.34,0.79,2,-5.734,1,0.0395,0.00617,0.0024,0.198,0.177,137.441,4
21 Guns,Green Day,spotify:track:64yrDBpcdwEdNY9loyEGbX,0.268,0.742,5,-4.939,1,0.0355,0.0518,0,0.626,0.416,159.779,4
21 Guns,Green Day,spotify:track:64yrDBpcdwEdNY9loyEGbX,0.268,0.742,5,-4.939,1,0.0355,0.0518,0,0.626,0.416,159.779,4
21 Guns,Green Day,spotify:track:64yrDBpcdwEdNY9loyEGbX,0.268,0.742,5,-4.939,1,0.0355,0.0518,0,0.626,0.416,159.779,4
21 Jump Street,Tv Themes,spotify:track:0mikiUiFyWZOMCxLY8LETt,0.622,0.485,5,-9.385,0,0.104,0.352,0,0.0908,0.429,94.188,4
21 Questions,50 Cent,spotify:track:70FCugJxa7XW04Np6iYJdI,0.646,0.813,6,-3.846,0,0.299,0.349,9.37e-05,0.0427,0.895,92.729,4
2112,Rush,spotify:track:5H8xFHau0x3PI1CssO6EaX,0.344,0.79,2,-7.456,1,0.0983,0.0823,0.0017,0.187,0.202,133.186,4
2112 (2),Rush,spotify:track:5H8xFHau0x3PI1CssO6EaX,0.344,0.79,2,-7.456,1,0.0983,0.0823,0.0017,0.187,0.202,133.186,4
213,Slayer,spotify:track:0OtxbpyXVpxPnakgP6ytEF,0.277,0.946,10,-5.009,1,0.161,0.00427,0.00184,0.173,0.157,151.641,4
21st Century Digital Boy,Bad Religion,spotify:track:7C794YeXiiSdlvGLxgabkd,0.447,0.979,5,-3.742,1,0.0565,6.71e-05,0,0.316,0.633,133.685,4
21st Century Man,Electric Light Orchestra,spotify:track:5phU2LUvJJkFKv1KWf0hMA,0.421,0.412,0,-12.129,1,0.0252,0.617,9.93e-05,0.891,0.205,77.263,4
21st Century Schizoid Man,King Crimson,spotify:track:0MgdTbMtdr42ZgwqTZa7ra,0.364,0.781,0,-10.577,1,0.288,0.000666,0.566,0.899,0.332,125.083,4
22,Taylor Swift,spotify:track:3yII7UwgLF6K5zW3xad3MP,0.642,0.695,7,-5.62,1,0.0281,0.000443,1.02e-05,0.0753,0.642,103.984,4
22,Lily Allen,spotify:track:1sFKcUH5sMAV4Qs0E99OLq,0.706,0.737,0,-5.928,0,0.0482,0.0217,0.000255,0.223,0.926,131.134,4
"22, Acacia Avenue",Iron Maiden,spotify:track:51S9pXdACCrhputBUl05Cs,0.305,0.907,0,-5.866,1,0.0619,0.0359,0.0593,0.102,0.544,112.737,4
23,Behemoth,spotify:track:5XmtXPoR00A2VwfUbmH4rU,0.229,0.899,6,-6.851,0,0.144,7.55e-05,0.0438,0.33,0.048,109.47,4
24,Tv Themes,spotify:track:7zuCskh8xmsZgNTIn9RT5q,0.276,0.52,2,-10.023,1,0.0759,0.0326,0.92,0.104,0.128,117.27,1
24 Hours,Mase,spotify:track:385VOmGbguaPG57TgoW8Lh,0.351,0.368,5,-8.132,1,0.0557,0.488,0.00603,0.124,0.362,84.224,4
241,Reel Big Fish,spotify:track:1Avgbf1perJ6DuI1wO9Hhg,0.813,0.584,9,-4.688,1,0.054,0.155,0.135,0.0532,0.924,137.914,4
245 Am,Elliott Smith,spotify:track:52Bg6oaos7twR7IUtEpqcE,0.522,0.074,7,-23.625,0,0.0598,0.929,0.765,0.108,0.342,135.298,3
25 Minutes,Michael Learns To Rock,spotify:track:7z3DihhdVRFn7kn4paPdgV,0.515,0.437,6,-10.21,1,0.0252,0.048,0,0.105,0.183,163.453,4
25 or 6 to 4,Chicago,spotify:track:7GqIDx2QVGOpd4r1fZaUUW,0.604,0.905,4,-7.059,0,0.0578,0.309,0.0632,0.0837,0.723,147.448,4
25 Years Married,Master Gold,spotify:track:3Deb08LkcFh5A4R5bX3AAY,0.859,0.735,6,-5.915,1,0.0605,0.324,0.102,0.059,0.85,105.928,4
26 Cents,Wilkonsons,spotify:track:2Qqby4S52keCDukyq5EcBZ,0.641,0.462,11,-7.99,1,0.0265,0.65,0,0.159,0.317,101.067,4
2nd Movement Of Sinister Footwear,Frank Zappa,spotify:track:4HcIw9AMFPykAHaMCsVKol,0.344,0.646,7,-11.871,1,0.0519,0.0786,0.0575,0.764,0.329,82.777,4
3 A.M.,Matchbox Twenty,spotify:track:5vYA1mW9g2Coh1HUFUSmlb,0.521,0.673,8,-8.685,1,0.0284,0.00573,0,0.12,0.543,108.031,4
3 Libras,A Perfect Circle,spotify:track:5kHkaBN8OEQlmXfQkACxSt,0.518,0.744,9,-8.248,1,0.0374,0.00383,0.007,0.078,0.211,144.019,3
3 Quarts Drunk,Less Than Jake,spotify:track:69QrdegFR6x6jdynitE64C,0.543,0.981,0,-4.545,1,0.0647,0.00317,0,0.0917,0.498,109.967,4
3 Stooges,Tv Themes,spotify:track:2Ce4p2D2utfbnMY4CaUjPD,0.561,0.215,4,-13.888,1,0.0618,0.763,0.897,0.129,0.939,148.026,4
3 Times 6,Master Gold,spotify:track:1HgqYIwZ4QyyY7xUb3fLAn,0.731,0.529,2,-9.563,1,0.301,0.0173,0,0.323,0.382,68.046,4
30 Minutes,Tatu,spotify:track:1MalRSCIa5c9HQebVKp6lI,0.648,0.16,5,-11.775,0,0.0384,0.831,0.00687,0.0853,0.243,129.95,4
