track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Light My Fire,Doors,spotify:track:5uvosCdMlFdTXhoazkTI5R,0.413,0.725,3,-5.787,0,0.0324,0.369,2.16e-05,0.0905,0.44,124.618,4
Light My Way,Audioslave,spotify:track:4oVxzPnsK4wOb4KPCApRD9,0.353,0.705,0,-4.776,1,0.0362,0.00132,1.34e-06,0.115,0.447,81.527,4
Light Of The Moon,Steve Vai,spotify:track:6lCUU0lvthR5LYhiLG3c0H,0.484,0.531,4,-11.181,1,0.0291,0.0226,0.000996,0.975,0.132,80.022,4
Light Up The Sky,Van Halen,spotify:track:6OAS9AVpxlw6E7cHDzzGzw,0.488,0.955,11,-6.412,1,0.108,0.00577,6.98e-05,0.326,0.328,101.304,3
Light Year,Chick Corea,spotify:track:1V7AkaItjTI2KK0OfEUoxv,0.656,0.666,0,-14.923,1,0.0364,0.00125,0.549,0.0607,0.92,102.988,4
Light Years,Pearl Jam,spotify:track:5kanFx39VgnIcu8GtECYie,0.513,0.835,2,-8.029,1,0.0318,0.128,0.0616,0.694,0.545,109.324,4
Light Years,311,spotify:track:2Xdsei6EKVCtKCRrznLkH1,0.597,0.83,9,-7.59,1,0.0982,0.0521,0.0728,0.979,0.622,81.339,4
Lightbulb Sun,Porcupine Tree,spotify:track:04Vcsh7Cexb2bmVpS7FLrR,0.514,0.539,1,-12.545,1,0.0283,0.127,0.234,0.687,0.29,100.438,4
Lightning Crashes,Live,spotify:track:48iWbsOaBUAGzMdoSmqyg1,0.385,0.433,11,-9.256,1,0.0435,0.241,7.07e-06,0.11,0.427,89.974,4
Lightning Crashes (2),Live,spotify:track:2WmQfeLPEUjCfHd1YFrv8d,0.386,0.493,11,-6.304,1,0.04,0.292,3.97e-06,0.117,0.41,91.429,4
Lightning Crashes (3),Live,spotify:track:48iWbsOaBUAGzMdoSmqyg1,0.385,0.433,11,-9.256,1,0.0435,0.241,7.07e-06,0.11,0.427,89.974,4
Lightning Rod,Offspring,spotify:track:1qrT7WrXci3HkwADY06mzi,0.367,0.655,5,-5.447,0,0.0651,0.00137,0,0.0835,0.36,183.619,4
Lightning Strike Twice,Iron Maiden,spotify:track:7fCvpcnBOvAcjKg5v8gee9,0.219,0.959,7,-4.115,1,0.226,0.105,6.51e-05,0.23,0.385,184.344,4
Lightning Strikes,Ozzy Osbourne,spotify:track:5zlrcW41p130s2MVQY7ZTe,0.546,0.943,1,-6.664,1,0.0344,0.00878,0.000398,0.288,0.839,135.157,4
Lights,Journey,spotify:track:7EHmKkyAr6MZv5Y2FdZbXw,0.193,0.498,7,-9.901,1,0.0381,0.107,0.00711,0.332,0.344,205.422,3
Lights,Ellie Goulding,spotify:track:5aTsxlQlq0vIedDWZoqMWN,0.682,0.795,8,-6.17,0,0.0367,0.0297,0.0391,0.131,0.78,120.008,4
Lights Out (Live),UFO,spotify:track:6CjmvGSGZ4VFdfByTaZeWV,0.297,0.884,11,-6.534,1,0.0568,0.000878,8.81e-05,0.93,0.384,77.038,4
Like A Child,Backstreet Boys,spotify:track:5CMdasTE4CPRNSC9VSJrsz,0.545,0.504,1,-8.239,1,0.0328,0.202,0,0.276,0.334,131.968,4
Like A Daydream,Ride,spotify:track:6Ld8nD4yZZfZKZr92vwfiH,0.273,0.923,2,-4.015,1,0.0522,3.15e-05,0.759,0.377,0.47,127.881,4
Like A Dog,Powderfinger,spotify:track:0Sh4kI7ySDVT0OYdozmIqA,0.563,0.86,6,-7.518,0,0.0771,0.0154,0.00656,0.113,0.215,124.227,4
Like A Hurricane,Neil Young,spotify:track:5Hh8DDJl3NgeDZfwps18AR,0.488,0.673,9,-10.902,0,0.0288,0.00068,0.803,0.133,0.386,114.042,4
Like A Prayer,Madonna,spotify:track:1z3ugFmUKoCzGsI6jdY4Ci,0.624,0.842,5,-5.285,1,0.0376,0.264,2.11e-05,0.181,0.257,111.037,4
Like A Prayer (2),Madonna,spotify:track:6SDFFZMHmfpA2Vwjl2dv3H,0.568,0.958,0,-3.978,1,0.123,0.198,0,0.836,0.134,128.001,4
Like a Rolling Stone,Bob Dylan,spotify:track:3AhXZa8sUQht0UEdBJgpGc,0.482,0.721,0,-6.839,1,0.0321,0.731,0,0.189,0.557,95.263,4
Like A Rolling Stone (Monterey),Jimi Hendrix,spotify:track:2y84zRlD8OD6wYpxUylgTV,0.494,0.485,11,-10.464,1,0.048,0.12,0.000277,0.16,0.609,80.593,4
Like A Stone,Audioslave,spotify:track:3YuaBvuZqcwN3CEAyyoaei,0.614,0.568,7,-5.477,0,0.0276,0.00797,0,0.0997,0.516,107.849,4
Like A Virgin,Madonna,spotify:track:1ZPlNanZsJSPK5h9YZZFbZ,0.771,0.655,3,-10.842,0,0.0372,0.152,0.00197,0.0685,0.97,119.747,4
Like An Angel Passing Through My Room,ABBA,spotify:track:08rAnrICc7QJl2FxaW45WO,0.458,0.0408,5,-27.446,1,0.0392,0.685,2.06e-05,0.391,0.268,107.237,4
Like Glue,Sean Paul,spotify:track:6pbCkvCENw0suVGr4Ckkae,0.757,0.78,1,-5.038,1,0.319,0.0811,0,0.113,0.59,97.917,4
Like Gods Of The Sun,My Dying Bride,spotify:track:4fGPljwe55xqTstDoVcTLb,0.169,0.825,1,-8.755,1,0.041,1.32e-05,0.229,0.155,0.247,94.175,4
Like Humans Do,Artists / Bands,spotify:track:0zssO6y75pnCaezqsfdEKi,0.322,0.98,4,-3.507,0,0.0876,5.06e-06,0.0563,0.234,0.27,89.769,4
Like I Love You,Justin Timberlake,spotify:track:6W2Ef5Ph6ILTUAedoQ3QIv,0.853,0.811,6,-4.927,0,0.0646,0.0439,0.000307,0.0703,0.9,114.964,4
Like Lovers Do,Roxette,spotify:track:5u99BP6V11MFoIahFEb8QF,0.574,0.412,2,-7.373,1,0.0285,0.521,0,0.177,0.611,135.738,4
Like No Other Night,38 Special,spotify:track:3pMl4aNTWCZn52E5OMnLCz,0.494,0.757,9,-5.195,1,0.0425,0.00231,0.0502,0.179,0.668,124.168,4
Like spinning plates,Radiohead,spotify:track:0GDeU5t1qHrcd191UOBAL1,0.268,0.536,1,-12.418,1,0.0584,0.819,0.643,0.28,0.204,137.038,4
Like Spinning Plates (Live),Radiohead,spotify:track:30V7kc7a8R3ONCRG1ipEZc,0.284,0.384,1,-9.853,1,0.0352,0.807,0.0133,0.97,0.101,143.016,4
Like Suicide,Sound Garden,spotify:track:1gGzdKJX35bqZLbfmXR3ql,0.615,0.346,7,-11.2,1,0.0254,0.558,0.000897,0.129,0.141,97.076,4
Like The Angel,Rise Against,spotify:track:4IIgXCauJKRS5IN45qV51s,0.333,0.454,8,-5.501,0,0.0408,0.651,0,0.0878,0.224,78.549,4
Like Toy Soldiers,Eminem,spotify:track:6CN3e26iQSj1N5lomh0mfO,0.52,0.768,8,-3.489,0,0.359,0.0193,0.00034,0.104,0.398,79.178,4
Like two sparrows in a hurricane,Tanya Tucker,spotify:track:7k9F26WpokhmRjzwxlCsCP,0.471,0.246,10,-13.678,1,0.0311,0.568,4.7e-06,0.109,0.226,97.101,4
Like Water for Chocolate,Movie Themes,spotify:track:5hwqZDwus8nuEQ9JKMWsmg,0.674,0.621,2,-7.279,1,0.304,0.104,0,0.0936,0.225,82.101,4
Like We Never Had A Broken Heart,Garth Brooks,spotify:track:1ii1L50zTeMuiLfiW2Eww0,0.588,0.316,0,-10.82,1,0.0267,0.884,0.000628,0.135,0.256,73.445,3
Like You,Beyond,spotify:track:2alZ25oriEbtPyiumu1ROq,0.624,0.329,5,-7.981,0,0.0845,0.93,0.00162,0.102,0.43,59.356,4
Like You Better Dead,In Flames,spotify:track:2jI4KsWOT0nhPcCbFB4bYn,0.465,0.987,6,-5.84,1,0.16,1.24e-05,0.0883,0.46,0.137,105.062,4
Lil Bloodred Ridin Hood,Children Of Bodom,spotify:track:0nzGPjGfsCetu6duFfiCmV,0.451,0.963,7,-4.162,1,0.0462,1.21e-06,0.775,0.359,0.231,105.034,4
Lil Place For Me,Master Gold,spotify:track:5rAxhWcgFng3s570sGO2F8,0.603,0.908,11,-5.254,1,0.184,0.0144,0,0.671,0.457,133.063,4
Lilac Wine,Jeff Buckley,spotify:track:1StXVL5gClph4z4XzanYko,0.262,0.0847,7,-16.413,1,0.04,0.827,4.82e-05,0.0938,0.0693,180.562,3
Lilac Wine,Miley Cyrus,spotify:track:5FiIDwTS9PJKMy2fcKp0k1,0.507,0.00721,7,-26.424,1,0.0361,0.978,0.894,0.107,0.039,85.065,4
Liliwhite Lilith,Genesis,spotify:track:0lks2Kt9veMOFEAPN0fsqN,0.423,0.634,6,-5.877,0,0.0578,0.196,0,0.189,0.467,150.978,4
Lily,Kate Bush,spotify:track:2EAMo0q9q4gQKmMyH8IrgE,0.585,0.498,6,-16.226,0,0.0491,0.389,0.000744,0.355,0.851,146.472,4
"Lily (Flute,Piano)",Artists / Bands,spotify:track:2cgB37FR9h5y6Harf6c0nE,0.483,0.332,6,-15.744,0,0.0425,0.978,0.939,0.11,0.398,149.992,4
Lily (My One And Only),Smashing Pumpkins,spotify:track:6gKUop4OJBuLrkSqRckUNU,0.648,0.252,1,-13.716,1,0.0267,0.0198,0.346,0.088,0.451,98.714,4
Lily (Piano),Artists / Bands,spotify:track:2cgB37FR9h5y6Harf6c0nE,0.483,0.332,6,-15.744,0,0.0425,0.978,0.939,0.11,0.398,149.992,4
"Lily Alan Walker(Flute,Piano)",Artists / Bands,spotify:track:7uJ68UESxEqWpOPmDD57wa,0.596,0.437,6,-12.963,0,0.0485,0.784,0.871,0.145,0.537,150.019,4
Lily Of The Valley,Queen,spotify:track:0jJ0n1M9gtDMRDx08UJCAT,0.339,0.264,9,-10.012,0,0.0281,0.628,0,0.148,0.416,78.916,4
Lily Was Here,Movie Themes,spotify:track:2CWhOwEmgENBTqL3uec5eB,0.697,0.482,2,-11.659,1,0.0263,0.293,0.277,0.0416,0.966,108.012,4
Lily Was Here,Eurythmics,spotify:track:0lks2Kt9veMOFEAPN0fsqN,0.423,0.634,6,-5.877,0,0.0578,0.196,0,0.189,0.467,150.978,4
Lily Was Here,Candy Dulfer,spotify:track:2uT3aswFopLTgJ4QtixmcJ,0.59,0.756,11,-6.112,0,0.054,0.25,0.209,0.922,0.499,105.637,4
Limbo,Rush,spotify:track:24RHOdxEB3yOwVvoG3wdd7,0.508,0.914,4,-6.127,0,0.0569,2.62e-05,0.784,0.383,0.443,120.184,4
Limelight,Rush,spotify:track:0K6yUnIKNsFtfIpTgGtcHm,0.581,0.854,1,-8.485,0,0.0428,0.00197,0.0013,0.111,0.788,131.18,4
Limelight,Alan Parsons Project,spotify:track:1qVEtpM3m04SV6qjKJa9EM,0.649,0.282,3,-9.011,1,0.028,0.726,8.66e-06,0.084,0.377,81.055,4
Limo Wreck,Sound Garden,spotify:track:2rLAx6mTzaTYd0DborfvV0,0.352,0.808,7,-4.907,1,0.0345,0.000429,0.000634,0.0996,0.236,137.875,3
Linchpin,Fear Factory,spotify:track:4qjvr0qMFUo26SxwC4VygS,0.693,0.871,0,-3.389,1,0.0844,0.00358,2.01e-05,0.11,0.533,111.989,4
Lincoln County,Kinks,spotify:track:5lObNfkDIyWbGjqdpTIFsU,0.488,0.616,7,-4.287,1,0.0294,0.146,0,0.136,0.813,146.426,4
Linda Juventude,14 Bis,spotify:track:7vHZpy4vxxcCdc636IKwMm,0.631,0.737,7,-9.382,1,0.0355,0.367,0,0.182,0.653,125.956,4
Linda on my mind,Conway Twitty,spotify:track:1QBhszc25PesXgxCOAIdI2,0.667,0.394,9,-8.741,1,0.0259,0.66,0,0.0653,0.531,108.432,4
Lines In The Sand,Dream Theater,spotify:track:798yjTPQrAfXsyef7mYPh0,0.268,0.703,2,-7.751,0,0.0638,0.000313,0.505,0.0603,0.362,119.97,4
Linger,Cranberries,spotify:track:6tSgGaDLFXJxsyeFciwoZV,0.201,0.762,7,-6.376,1,0.0337,0.0953,1.46e-05,0.358,0.131,94.832,4
Linkin Park - BREAKING The Habit,Linkin Park,spotify:track:3dxiWIBVJRlqh9xk144rf4,0.579,0.849,4,-5.218,0,0.0303,0.108,0,0.0909,0.581,100.021,4
Linkin Park - Crawling,Linkin Park,spotify:track:0qV4OgE7F3vEu27q6jg5Oo,0.207,0.356,6,-16.397,0,0.0451,0.597,0.904,0.104,0.188,208.077,4
Linkin Park - One Step Closer,Linkin Park,spotify:track:3K4HG9evC7dg3N0R9cYqk4,0.492,0.969,9,-4.419,1,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,4
Links 234,Rammstein,spotify:track:52XYwQKlXp7scE7KrBBCID,0.624,0.904,4,-4.774,1,0.0479,0.00112,0.0231,0.604,0.649,130.153,4
Linoleum,NOFX,spotify:track:4uB28m7RAflobYpnLMb6A2,0.18,0.934,4,-8.699,1,0.115,3.32e-05,0.000551,0.0702,0.433,197.043,4
Linoleum,Pain Of Salvation,spotify:track:05AeEq0odj0CJHPrgenADF,0.366,0.508,4,-9.112,0,0.0795,0.247,0.000278,0.0966,0.296,157.588,4
Lion,Toto,spotify:track:54iCieBgbWQ8IkUrzEZdm5,0.446,0.58,9,-14.647,1,0.044,0.176,1.61e-05,0.111,0.735,190.839,4
Lion King,Movie Themes,spotify:track:5twPBZqdoB7gKmadVMO6Yl,0.523,0.298,10,-16.088,1,0.0444,0.831,0.0547,0.117,0.167,166.365,4
Lion Sleeps Tonight,Tokens,spotify:track:2F4FNcz68howQWD4zaGJSi,0.321,0.474,5,-9.383,1,0.0348,0.743,0,0.204,0.804,121.199,4
Lips Are Movin',Meghan Trainor,spotify:track:6gj08XDlv9Duc2fPOxUmVD,0.775,0.825,7,-5.402,1,0.0464,0.0506,1.03e-06,0.111,0.95,139.091,4
Lips Of An Angel,Hinder,spotify:track:4xusU78zlrE0jUcrUvK4Vg,0.474,0.744,2,-5.386,1,0.0341,0.0208,1.22e-06,0.209,0.238,129.005,4
Lips Of Ashes,Porcupine Tree,spotify:track:74gDkJq3veaNwUxystidVE,0.278,0.214,11,-16.565,0,0.0299,0.411,0.287,0.356,0.0394,79.623,4
Lips Of Deceit,Avenged Sevenfold,spotify:track:2qZFJKoVY2YMCn1wrUouI2,0.206,0.953,2,-4.224,0,0.125,5.08e-05,0.241,0.273,0.317,92.707,4
Lipstick And Bruises,Lit,spotify:track:5nPB7CWCPPhhqfbJmo4AtN,0.443,0.982,4,-3.453,1,0.0548,0.000176,0.000403,0.356,0.647,134.973,4
Lipstick Traces,UFO,spotify:track:1IyEq2jer2aKWugbYiBwgL,0.614,0.484,9,-8.853,0,0.033,0.158,0.109,0.0851,0.621,78.746,3
Liquid,Jars Of Clay,spotify:track:1odcu4O911szle83ptKoiY,0.594,0.868,3,-10.858,0,0.0361,0.0607,6.4e-05,0.0804,0.667,104.888,4
Liquid Diamonds,Tori Amos,spotify:track:1axHEXUBJ2wa8qcSuj4dAU,0.631,0.83,2,-6.166,1,0.0326,0.171,0.000263,0.0431,0.653,134.012,4
Liquor Store,Less Than Jake,spotify:track:3aLsMcZZTLgQqjpWgeWMMM,0.803,0.932,0,-7.123,1,0.0912,0.0225,0.581,0.078,0.726,124.963,4
Listed M I A,Rancid,spotify:track:0mJOMEhmJLrLdFVXkp9sJD,0.41,0.992,11,-4.394,1,0.0984,0.0073,0.00061,0.0859,0.724,167.881,4
Listen,Collective Soul,spotify:track:0dcEYxnV7CmSfEiyHdAaS0,0.572,0.817,2,-6.23,1,0.0285,0.0496,1.95e-05,0.105,0.736,99.023,4
Listen To Me Please,Supertramp,spotify:track:0vL9cxddMOSY8mk0RVrNAI,0.565,0.867,9,-7.029,0,0.0477,0.39,1.42e-05,0.732,0.843,94.308,4
Listen To Our Hearts,Geoff Moore,spotify:track:5brYIZfHE0MwWozcgEJsMJ,0.41,0.283,6,-15.055,1,0.0284,0.668,0,0.102,0.267,183.658,4
Listen To The Music,Doobie Brothers,spotify:track:7Ar4G7Ci11gpt6sfH9Cgz5,0.645,0.598,1,-13.18,0,0.0335,0.221,3.53e-06,0.0721,0.913,105.929,4
Listen To The Rhythm Of The Pouring Rain,Ricky Nelson,spotify:track:7GHf8dQ2wA71wYOuRsQCZP,0.659,0.66,0,-8.337,1,0.0441,0.627,0.000217,0.136,0.672,116.634,4
Listen To What The Man Said,Paul McCartney,spotify:track:1KseeIiWZH6sMAjKyha8ZR,0.64,0.636,7,-10.612,1,0.0316,0.271,0.848,0.183,0.688,114.012,4
Listen To Your Heart,Roxette,spotify:track:5JvsxPAHsGxwNq4xto2HtM,0.539,0.583,1,-4.935,0,0.0275,0.108,0,0.111,0.337,86.063,4
Listen To Your Heart,Heart,spotify:track:2iW5uc25ziGLlNMqdhFJad,0.481,0.906,9,-3.705,1,0.0349,0.334,0.603,0.043,0.364,127.955,4
Listen Up,Oasis,spotify:track:3bMyUtEq3zbhYCFNcI7Lq7,0.145,0.904,9,-2.463,1,0.0675,0.0216,0.00486,0.363,0.344,102.935,4
Listening To You,Who,spotify:track:7k6xaXWGZ5n2FRpfUqGtj1,0.276,0.801,0,-9.533,1,0.082,0.167,8.19e-05,0.0957,0.372,116.49,4
Lit De Parade,Army Of Lovers,spotify:track:4IzjCGo14oYcflX8K9F5pY,0.739,0.85,9,-6.844,0,0.0582,0.0479,5.75e-05,0.328,0.669,123.986,4
Lit-up,Buckcherry,spotify:track:47CfC1L87b0MIr6lzlEbNf,0.651,0.872,5,-3.137,0,0.0339,0.000526,1.32e-05,0.357,0.935,128.817,4
Lithium,Nirvana,spotify:track:5vHLwhxxlGzmClMcxRRFPr,0.678,0.656,7,-6.41,1,0.0381,0.00174,0,0.0631,0.485,123.207,4
Lithium,Evanescence,spotify:track:5YaLFRpqpUzgLLDcukNn0H,0.483,0.631,10,-3.826,0,0.0356,0.214,0,0.0974,0.212,117.988,4
Lithium Sunset,Sting,spotify:track:3RVU17WWjka9bdPwhjPDFZ,0.825,0.468,9,-12.808,1,0.0631,0.017,0.000983,0.102,0.156,120.044,4
Little 15,Depeche Mode,spotify:track:739C9IOMRahci0gvwvCezN,0.545,0.323,4,-11.444,1,0.031,0.684,0.0446,0.0746,0.0971,108.402,4
Little 15 Violation 15,Depeche Mode,spotify:track:739C9IOMRahci0gvwvCezN,0.545,0.323,4,-11.444,1,0.031,0.684,0.0446,0.0746,0.0971,108.402,4
Little Acorns,White Stripes,spotify:track:68oBm4o7JfsLezeq7r9LzN,0.53,0.528,0,-12.096,1,0.0905,0.0152,0.0437,0.218,0.422,115.014,4
Little Alligator,Steve Vai,spotify:track:1mLsSULcfcBnt4Z2PP2G9H,0.477,0.92,4,-5.407,0,0.0623,0.00159,0.00213,0.272,0.686,83.858,4
Little Altar Boy,Carpenters,spotify:track:2Byn04JZXXyqMfSrwCEI87,0.173,0.223,6,-13.368,0,0.0344,0.945,8.35e-05,0.0887,0.106,82.831,3
Little Amsterdam,Tori Amos,spotify:track:65g8hmcJ3s0czEHkiAvFHr,0.51,0.263,7,-12.656,1,0.0567,0.734,2.23e-05,0.124,0.253,129.04,4
Little apple,Seasonal,spotify:track:0OS8A0ndqGEpgkCZ2nd6XM,0.733,0.799,7,-4.352,1,0.0434,0.0212,0,0.366,0.731,126.06,4
Little Bird,Annie Lennox,spotify:track:1KX8GhTteEUlkbfzaRzbsx,0.767,0.521,9,-9.145,1,0.0351,0.249,0.00128,0.303,0.672,124.995,4
Little Bird,White Stripes,spotify:track:7uYoO8Jt7BUib2teUpLFLZ,0.273,0.776,1,-7.742,1,0.0488,0.479,0.903,0.099,0.466,159.33,4
Little Bit More,911,spotify:track:67XL7CV4ndupUswalBCYUo,0.707,0.741,7,-7.612,1,0.0277,0.0417,0,0.228,0.541,96.184,4
Little Bitty,Alan Jackson,spotify:track:2IY559smG7SXYk229NA2Vl,0.571,0.818,4,-6.539,1,0.0415,0.151,0,0.348,0.728,163.045,4
Little Black Submarines,Black Keys,spotify:track:1PXsUXSM3LF2XNSkmIldPb,0.365,0.466,2,-7.514,1,0.0418,0.161,6.68e-06,0.106,0.487,95.163,4
Little Blonde Plaits,Chris Rea,spotify:track:6GBC0nejeACtgM5x8f49mS,0.501,0.346,4,-15.332,0,0.0264,0.88,0.202,0.39,0.335,180.293,4
Little Boy,Captain Jack,spotify:track:4I7v58mKHGY51dFSdWDWWR,0.581,0.978,9,-6.212,0,0.0472,0.0598,0,0.215,0.675,150.04,4
Little Brown Jug,Glenn Miller & His Orchestra,spotify:track:5z2YS1lQDY91oX2HRjfacN,0.666,0.5,1,-13.333,1,0.278,0.842,0.619,0.1,0.73,94.64,4
Little By Little,Oasis,spotify:track:3tQFthLmtBuc0XPL2b8nnu,0.405,0.63,2,-4.996,1,0.0277,0.029,0.00321,0.117,0.136,145.91,4
Little Child,Beatles,spotify:track:0KogQrSowDnZoU8GSpaxkj,0.526,0.858,9,-8.533,1,0.0476,0.292,0.001,0.353,0.886,75.596,4
Little Darlin,Diamonds,spotify:track:7ycFNferNuk6wAjBa0vWvl,0.631,0.587,6,-11.402,1,0.042,0.536,0.29,0.333,0.664,152.851,4
Little Devil,Master Gold,spotify:track:1e2r76aTakUUw1cBLBCs7s,0.705,0.619,7,-7.89,1,0.0321,0.186,0.000392,0.143,0.843,117.072,4
Little Dolls,Ozzy Osbourne,spotify:track:2bKSqt03UoAxjtJFTydExn,0.355,0.809,8,-5.851,1,0.0393,0.00473,0.000218,0.0781,0.775,107.281,4
Little Dreamer,Van Halen,spotify:track:0AiUx0SP4HK1DJPwi20cEn,0.382,0.811,11,-6.191,0,0.0361,0.024,1.29e-06,0.261,0.733,179.149,4
Little Drummer Boy,Christmas,spotify:track:3QQMGwA6DtW1SK16c6wcgg,0.78,0.239,5,-17.792,1,0.179,0.956,0.921,0.0987,0.369,100.999,4
Little Dude,Master Gold,spotify:track:4qUOWdkelLpGAQ9kUFyFsD,0.744,0.244,7,-17.764,1,0.0674,0.058,0.852,0.145,0.463,110.033,4
Little Duece Coupe,Beach Boys,spotify:track:3Vjm5XNZmFS5yRlWXSfYxi,0.666,0.537,8,-7.184,1,0.0411,0.77,0,0.0493,0.96,135.273,3
Little Dwarf Plug Along,Windfall,spotify:track:0PjcMYJNeBAlJIm4T6jDF9,0.297,0.871,0,-5.735,1,0.0607,0.00526,0.0324,0.28,0.312,134.782,4
Little Earthquakes,Tori Amos,spotify:track:3txinrcQj8n7uvoadi8yCQ,0.454,0.415,9,-11.626,1,0.0323,0.195,0.00427,0.138,0.317,115.239,4
Little Einsteins,Tv Themes,spotify:track:5gd0KmWHnTeP4nYTLR93uY,0.718,0.288,2,-11.682,1,0.0363,0.983,0.924,0.0918,0.785,140.024,4
Little Einsteins - Piano Version,Tv Themes,spotify:track:5gd0KmWHnTeP4nYTLR93uY,0.718,0.288,2,-11.682,1,0.0363,0.983,0.924,0.0918,0.785,140.024,4
Little Fighter,White Lion,spotify:track:2pH562uKymLxYYrLiHJelf,0.511,0.767,6,-9.294,1,0.0508,0.0138,5.06e-06,0.0994,0.467,134.619,4
Little Friend,Nickleback,spotify:track:7Mhqtb3KCRvkENSRPIRxrN,0.307,0.844,5,-4.051,1,0.183,0.000569,0.0961,0.364,0.48,86.622,4
Little Giants,Movie Themes,spotify:track:3uZywoZXPFNN0iQgqUPxME,0.864,0.807,1,-5.204,1,0.0688,0.0952,0.00372,0.0484,0.597,100.021,4
Little Girls,Extreme,spotify:track:7rJ0G4FK91ZNFCqMCfL6Pw,0.54,0.78,6,-10.038,1,0.0441,0.0326,0,0.316,0.496,102.046,4
Little green Apples,Roger Miller,spotify:track:2iNWbCFroEzA8u0lwEvnBH,0.519,0.131,0,-21.288,1,0.0501,0.848,0.0591,0.139,0.496,103.183,4
Little Guitars,Van Halen,spotify:track:18fIsTimWvKXA2whjHYON3,0.478,0.95,5,-3.442,1,0.0526,0.243,0.000852,0.114,0.854,147.069,4
Little Horn,Marilyn Manson,spotify:track:7bSC1LGg4kB0oltSx2E2eA,0.297,0.925,2,-8.066,1,0.0706,0.000594,0.0841,0.0699,0.135,160.303,4
Little Horn (2),Marilyn Manson,spotify:track:7bSC1LGg4kB0oltSx2E2eA,0.297,0.925,2,-8.066,1,0.0706,0.000594,0.0841,0.0699,0.135,160.303,4
Little House,Fray,spotify:track:672rLD2Eqriv9fVvSm1Lgg,0.409,0.903,3,-3.536,0,0.0572,0.0622,3.92e-06,0.238,0.357,180.187,4
Little James,Oasis,spotify:track:5wQ0JTCQNenWEFHMqtWKbm,0.401,0.604,0,-7.009,1,0.0261,0.32,0.0381,0.275,0.141,82.026,4
Little Jeannie,Elton John,spotify:track:19Kf8FxBJ5a1Bb8uKCrIIe,0.616,0.444,10,-14.224,1,0.0276,0.461,0.000115,0.0847,0.763,143.805,4
Little L,Jamiroquai,spotify:track:7hhclvecTpNxNNRCk7NUoc,0.878,0.724,10,-5.373,0,0.129,0.168,0.0116,0.133,0.904,121.906,4
Little Lies,Fleetwood Mac,spotify:track:1NPS7Ode1p24izXV1SgUXv,0.643,0.655,2,-10.249,1,0.0256,0.217,0.000272,0.0462,0.878,124.731,4
Little Lover,AC DC,spotify:track:4XyONPP3WOcquMO5WVj4mw,0.576,0.516,2,-6.091,1,0.0436,0.00144,0.00551,0.199,0.237,106.004,4
Little Maggie,Bill Monroe,spotify:track:0StOg5y01arPg4p1NLxP80,0.688,0.683,1,-4.548,0,0.0356,0.692,0.00046,0.388,0.85,130.084,4
Little Man,Alan Jackson,spotify:track:5vxd49MupkHObFEhcpT1ii,0.699,0.514,1,-9.34,1,0.027,0.108,0,0.0817,0.41,120.056,4
Little Martha,Allman Brothers Band,spotify:track:2WPLFvAldG0GG6Ad3Xa0TO,0.487,0.2,11,-21.64,1,0.0448,0.973,0.935,0.109,0.582,92.061,4
Little Mermaid,Movie Themes,spotify:track:6Y2QeICWXUJCgv2VVYkmTa,0.288,0.227,5,-12.473,1,0.0419,0.908,1.61e-05,0.136,0.261,73.025,4
Little Miss Can't Be Wrong,Spin Doctors,spotify:track:1uCqIhOePc6hDMG2ijk8sp,0.515,0.903,0,-8.832,1,0.0443,0.014,0.0218,0.38,0.927,116.44,4
Little Miss Honkey Tonk,Brooks And Dunn,spotify:track:6VEeVkri38jZwcqpGx88ng,0.435,0.822,10,-8.5,1,0.0337,0.0708,0.72,0.319,0.895,75.02,4
Little Miss Lover,Jimi Hendrix,spotify:track:4pvY1WQBeAgPGMnWglrWY4,0.53,0.916,1,-5.643,1,0.081,0.0549,0.000302,0.3,0.905,98.722,4
Little Miss Magic,Jimmy Buffett,spotify:track:5w4dwSdatDYn7wmtgZMjPT,0.666,0.0909,7,-18.338,1,0.0311,0.644,0,0.096,0.639,107.531,4
Little Miss Queen Of Darkness,Kinks,spotify:track:3Rmz8BYMGWFmDOSPREEmnW,0.687,0.427,9,-9.479,1,0.0317,0.109,1.37e-06,0.0607,0.216,130.778,4
Little Mix,Little Mix,spotify:track:5FiBzGgY8zYSdWN7hWfVz2,0.371,0.795,5,-5.092,0,0.0785,0.206,0,0.181,0.544,79.837,4
Little One,Beck,spotify:track:6sY5KdLa5DksdV52wPKpB7,0.216,0.554,9,-7.606,1,0.0315,0.29,0.0001,0.116,0.113,166.581,4
Little People,White Stripes,spotify:track:1d5MVnTDjTJnZQyf6toiPc,0.633,0.74,9,-4.752,0,0.0588,0.803,0.0834,0.361,0.493,112.983,4
Little Queenie,Chuck Berry,spotify:track:0OA0lBeSRzpXyAbv8iTXw6,0.673,0.764,7,-10.392,0,0.087,0.735,0,0.238,0.662,151.312,4
Little Rascals,Tv Themes,spotify:track:4vvaua4fbZARQTGtwSzP3d,0.287,0.334,7,-12.821,1,0.0434,0.967,0.923,0.154,0.834,133.31,1
